"ID";"regiao.wgts";"P02";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P22_A";"P22_B";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"P35";"P36";"P38";"P39";"P40";"P41";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V13";"V14";"V15";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts";"porte.wgts"
"677";5;50;3;2;1;1;3;"2";"1";"2";"2";"2";"2";"1";"2";1;2;5;1;1;1;1;1;1;1;"1";"2";"1";"2";"2";1;1;2;1;2;2;1;1;;;2;2;1;1;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;3;2;2;2;2;1;35;0;4;1;1;;;;2;2;4;3;"3669920.78366589";"1265229.88040335";"1926584.00950762";"2153020.05470942";0,182984706628559;5980,95278047638;2;4;4;1
"678";3;33;2;1;1;1;3;"2";"2";"1";"2";"2";"2";"2";"2";2;2;5;1;1;2;2;2;1;2;"1";"2";"1";"1";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;2;1;39;97;4;1;2;1;;;1;1;2;4;"21435571.5784308";"6626547.21734997";"11219551.754314";"8084671.29925415";4,82796897142216;96722,1364593727;2;4;1;1
"679";2;29;3;3;1;1;3;"1";"2";"2";"1";"2";"2";"2";"2";3;2;5;1;1;1;1;2;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;2;1;1;74;3;2;2;2;2;2;2;;2;2;4;"14898000.1979184";"5236594.20628577";"8995626.46137368";"5881277.34048095";1,41798304885034;85202,4406848275;5;1;4;3
"680";1;17;2;1;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;2;4;1;1;1;2;2;3;1;"1";"1";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;1;1;53;3;4;2;2;1;;;5;2;2;2;"5164153.94647996";"1088578.61259989";"1499244.44762391";"2828257.81207705";0,239731863563941;7449,52343166846;4;4;4;2
"681";5;52;3;2;1;1;4;"2";"2";"2";"1";"2";"2";"2";"2";1;3;5;1;2;2;1;2;1;1;"1";"1";"1";"1";"1";1;1;2;2;2;1;1;1;;;2;2;1;1;2;2;2;2;2;2;2;6;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;1;1;1;6;1;49;3;4;1;1;;;;4;3;3;1;"3669920.78366589";"1357583.87039275";"1926584.00950762";"2153020.05470942";0,148645839597536;5510,02863733195;3;4;4;1
"682";3;35;1;1;2;1;3;"2";"1";"2";"1";"1";"2";"1";"2";1;1;3;1;1;1;2;2;2;1;"2";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;3;1;63;1;3;1;2;2;2;2;;1;3;2;"21435571.5784308";"10873729.3575279";"12322615.2408783";"16041980.2259275";1,37479305245354;78348,3488941222;5;3;1;3
"683";2;29;2;97;1;1;3;"1";"2";"2";"2";"2";"2";"2";"1";2;2;3;1;1;1;1;2;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;1;1;64;2;3;2;2;2;1;1;;1;2;4;"2834846.37084543";"5236594.20628577";"3762891.45355231";"5881277.34048095";0,580278168423321;12065,6170812008;5;2;2;3
"684";3;35;2;2;1;1;3;"2";"1";"2";"1";"2";"2";"2";"2";2;3;4;2;2;2;2;2;1;1;"1";"1";"1";"1";"1";1;1;1;1;1;1;4;;;;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;1;1;2;2;2;2;1;1;3;2;2;1;1;1;29;1;2;2;2;2;2;2;;4;2;4;"21435571.5784308";"8292998.1115813";"10487709.0241656";"16041980.2259275";3,7435843458315;121074,343926816;1;1;1;3
"685";3;35;3;1;1;1;4;"2";"2";"2";"2";"2";"1";"2";"2";3;3;5;2;2;2;2;2;1;1;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;1;1;3;1;64;1;4;2;2;2;2;2;;4;3;4;"21435571.5784308";"10873729.3575279";"11219551.754314";"15599497.5813694";2,74958610490708;127360,999380109;5;4;1;2
"686";3;33;3;3;1;1;4;"2";"2";"2";"1";"2";"2";"2";"2";2;3;3;1;1;2;2;2;3;1;"1";"2";"2";"2";"2";1;1;2;2;2;2;1;2;;1;2;2;2;2;2;2;2;2;2;2;1;5;1;2;1;2;2;2;1;2;2;2;2;2;1;2;3;1;1;1;1;1;36;3;3;1;2;1;;;5;4;2;4;"14014348.5743857";"6626547.21734997";"12322615.2408783";"15599497.5813694";2,70387266959269;50811,6960954998;2;3;4;2
